"","VILLCODE","COUNTYNAME","TOWNNAME","VILLNAME","VILLENG","COUNTYID","COUNTYCODE","TOWNID","TOWNCODE","NOTE","fullname","area","field_1","imageName","lat","lng","dataTime","remark","上傳者","標註者","createdAt","updatedAt","候選人姓名.不想寫請填NA.","大選區","政黨","子選區","候選人類別.同框選小的.","多看板中的哪一個","看板類別","思源地圖類別","思源地圖名稱","是否有政黨標誌","主標語","位置描述資訊","看板費用類別","geometry"
"5807","10009010008","雲林縣","斗六市","三平里","Sanping Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市三平里",883673.268287358,"1","631d9c4d10be152c87c8d27b",23.7095135739031,120.533308278589,"2022-09-11T08:26:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:29:01.423Z","2022-09-11T08:29:01.423Z","陳永修","雲林縣","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(120.533308278589, 23.7095135739031)
"5808","10009010022","雲林縣","斗六市","保庄里","Baozhuang Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市保庄里",3207821.51846225,"1","631d9c4d10be152c87c8d27b",23.7095135739031,120.533308278589,"2022-09-11T08:26:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:29:01.423Z","2022-09-11T08:29:01.423Z","陳永修","雲林縣","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(120.533308278589, 23.7095135739031)
"4856","10009010011","雲林縣","斗六市","龍潭里","Longtan Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市龍潭里",1987352.21661958,"2","631d9b1510be151c53c8d27a",23.6948345,120.5278406,"2022-09-11T08:20:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:23:49.392Z","2022-09-11T08:23:49.392Z","陳永修","雲林縣","國民黨","NA","縣市議員","下","固定式","NA","NA","否","NA","議會附近","NA",c(120.5278406, 23.6948345)
"6927","65000020086","新北市","三重區","培德里","Peide Vil.","F","65000","F05","65000020",NA,"新北市三重區培德里",164313.751896546,"3","631c939b10be1521a8c8d279",25.0700378888889,121.483234361111,"2022-09-10T13:31:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:39:39.126Z","2022-09-10T13:39:39.126Z","王威元","新北市","國民黨","NA","縣市議員","左","固定式","NA","NA","是","NA","NA","NA",c(121.483234361111, 25.0700378888889)
"6898","65000020017","新北市","三重區","田中里","Tianzhong Vil.","F","65000","F05","65000020",NA,"新北市三重區田中里",110900.413550358,"4","631c901110be1501bbc8d278",25.0673624166667,121.481485722222,"2022-09-10T10:02:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:24:33.724Z","2022-09-10T13:24:33.724Z","李倩萍","新北市","民進黨","NA","縣市議員","左","固定式","NA","NA","NA","NA","NA","NA",c(121.481485722222, 25.0673624166667)
"6898.1","65000020017","新北市","三重區","田中里","Tianzhong Vil.","F","65000","F05","65000020",NA,"新北市三重區田中里",110900.413550358,"5","631c8f9710be153f0cc8d277",25.0679472777778,121.480735138889,"2022-09-10T10:00:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:22:31.437Z","2022-09-10T13:22:31.437Z","邱婷蔚","新北市","民進黨","三重蘆洲","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(121.480735138889, 25.0679472777778)
"1967","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"7","631c3beb10be1578ddc8d275",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:25:31.197Z","2022-09-10T07:25:31.197Z","林文仲","臺中市","不知","NA","縣市議員","左","NA","NA","NA","否","NA","NA","NA",c(120.694366666667, 24.1516666666667)
"1967.1","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"8","631c3b6c10be1589cec8d274",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:23:24.052Z","2022-09-10T07:23:24.052Z","何昆霖","臺中市","民進黨","NA","縣市議員","不容易描述","固定式","NA","NA","NA","國際經驗台中實現","NA","NA",c(120.694366666667, 24.1516666666667)
"1967.2","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"9","631c3ac210be157f6dc8d273",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:20:34.067Z","2022-09-10T07:20:34.067Z","鄭功進","臺中市","民進黨","NA","縣市議員","右","固定式","NA","NA","是","NA","NA","NA",c(120.694366666667, 24.1516666666667)
"5897","66000080007","臺中市","北屯區","舊社里","Jiushe Vil.","B","66000","B08","66000080",NA,"臺中市北屯區舊社里",2510092.3544446,"10","631c3a8810be15c451c8d272",24.1822388888889,120.702027777778,"2022-09-07T05:27:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:19:36.780Z","2022-09-10T07:19:36.780Z","黃健豪","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","豪！","NA","NA",c(120.702027777778, 24.1822388888889)
"2397","66000170001","臺中市","潭子區","潭陽里","Tanyang Vil.","B","66000","B17","66000170",NA,"臺中市潭子區潭陽里",1031938.66661169,"11","631c3a4e10be15d92dc8d271",24.2068777777778,120.705230555556,"2022-09-07T05:32:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:18:38.037Z","2022-09-10T07:18:38.037Z","吳呈賢","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","新世代創新","NA","NA",c(120.705230555556, 24.2068777777778)
"5903","66000170004","臺中市","潭子區","福仁里","Furen Vil.","B","66000","B17","66000170",NA,"臺中市潭子區福仁里",1377263.47271816,"11","631c3a4e10be15d92dc8d271",24.2068777777778,120.705230555556,"2022-09-07T05:32:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:18:38.037Z","2022-09-10T07:18:38.037Z","吳呈賢","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","新世代創新","NA","NA",c(120.705230555556, 24.2068777777778)
"2398","66000170002","臺中市","潭子區","潭秀里","Tanxiu Vil.","B","66000","B17","66000170",NA,"臺中市潭子區潭秀里",768030.24051611,"12","631c39fb10be152ce2c8d270",24.2153833333333,120.705283333333,"2022-09-07T05:34:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:17:15.462Z","2022-09-10T07:17:15.462Z","鄭勁節","臺中市","時代力量","NA","縣市議員","只有一個","固定式","NA","NA","是","台中特有種","NA","NA",c(120.705283333333, 24.2153833333333)
"2279","66000090022","臺中市","豐原區","田心里","Tianxin Vil.","B","66000","B09","66000090",NA,"臺中市豐原區田心里",568534.48466986,"13","631c39be10be15c5fbc8d26f",24.2370055555556,120.710341666667,"2022-09-07T05:38:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:16:14.257Z","2022-09-10T07:16:14.257Z","陳清龍","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","否","豐原更好","NA","NA",c(120.710341666667, 24.2370055555556)
"2257","66000090003","臺中市","豐原區","中山里","Zhongshan Vil.","B","66000","B09","66000090",NA,"臺中市豐原區中山里",76789.2227534232,"14","631c397710be15001ec8d26e",24.2505416666667,120.718947222222,"2022-09-07T05:44:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:15:03.366Z","2022-09-10T07:15:03.366Z","劉志忠","臺中市","民進黨","NA","縣市議員","只有一個","NA","NA","NA","NA","行動派","NA","NA",c(120.718947222222, 24.2505416666667)
"2257.1","66000090003","臺中市","豐原區","中山里","Zhongshan Vil.","B","66000","B09","66000090",NA,"臺中市豐原區中山里",76789.2227534232,"15","631c394910be150b09c8d26d",24.2506861111111,120.718894444444,"2022-09-07T05:44:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:14:17.879Z","2022-09-10T07:14:17.879Z","邱愛珊","臺中市","國民黨","NA","縣市議員","右","固定式","","NA","是","台中好媽媽","NA","NA",c(120.718894444444, 24.2506861111111)
"2112","66000030001","臺中市","南區","城隍里","Chenghuang Vil.","B","66000","B03","66000030",NA,"臺中市南區城隍里",215146.975958689,"16","631c390910be150186c8d26c",24.1280833333333,120.680938888889,"2022-09-07T08:59:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:13:13.682Z","2022-09-10T07:13:13.682Z","陳雅慧","臺中市","民進黨","NA","縣市議員","左","固定式","NA","NA","是","經驗傳承","NA","NA",c(120.680938888889, 24.1280833333333)
"2122","66000280014","臺中市","大里區","仁化里","Renhua Vil.","B","66000","B28","66000280",NA,"臺中市大里區仁化里",2112108.20535934,"17","631c38b710be1532b6c8d26b",24.0932138888889,120.689491666667,"2022-09-08T06:58:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:11:51.349Z","2022-09-10T07:11:51.349Z","張芬郁","臺中市","民進黨","NA","縣市議員","右","固定式","NA","NA","NA","力拚第三席","NA","NA",c(120.689491666667, 24.0932138888889)
"2122.1","66000280014","臺中市","大里區","仁化里","Renhua Vil.","B","66000","B28","66000280",NA,"臺中市大里區仁化里",2112108.20535934,"18","631c37e610be1599dcc8d26a",24.0932138888889,120.689491666667,"2022-09-08T06:58:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:08:22.603Z","2022-09-10T07:08:22.603Z","江和樹","臺中市","民眾黨","NA","縣市議員","左","NA","NA","NA","是","新選擇","NA","NA",c(120.689491666667, 24.0932138888889)
"2122.2","66000280014","臺中市","大里區","仁化里","Renhua Vil.","B","66000","B28","66000280",NA,"臺中市大里區仁化里",2112108.20535934,"19","631c37b510be15612cc8d269",24.0932166666667,120.689491666667,"2022-09-08T06:58:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:07:33.875Z","2022-09-10T07:07:33.875Z","鄭伯其","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","新選擇","NA","NA",c(120.689491666667, 24.0932166666667)
"2156","66000040003","臺中市","西區","三民里","Sanmin Vil.","B","66000","B04","66000040",NA,"臺中市西區三民里",195414.988160667,"20","6319ca7310be15dbf2c8d268",24.138801676078,120.675647426143,"2022-09-08T08:30:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T10:56:51.382Z","2022-09-08T10:56:51.382Z","盧秀燕","臺中市","國民黨","NA","縣市長","只有一個","固定式","NA","NA","否","NA","NA","NA",c(120.675647426143, 24.138801676078)
"2156.1","66000040003","臺中市","西區","三民里","Sanmin Vil.","B","66000","B04","66000040",NA,"臺中市西區三民里",195414.988160667,"21","6319ca1210be151d48c8d267",24.1379643736654,120.675040047179,"2022-09-08T08:31:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T10:55:14.145Z","2022-09-08T10:55:14.145Z","張彥彤","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","否","NA","NA","NA",c(120.675040047179, 24.1379643736654)
"2162","66000040009","臺中市","西區","公舘里","Gongguan  Vil.","B","66000","B04","66000040",NA,"臺中市西區公舘里",334279.659862176,"22","6319c88610be156dd8c8d266",24.1315708823735,120.667103454899,"2022-09-08T04:28:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T10:48:38.861Z","2022-09-08T10:48:38.861Z","何昆霖","臺中市","不知","NA","縣市議員","上","固定式","NA","NA","否","NA","NA","NA",c(120.667103454899, 24.1315708823735)
"2162.1","66000040009","臺中市","西區","公舘里","Gongguan  Vil.","B","66000","B04","66000040",NA,"臺中市西區公舘里",334279.659862176,"23","6319c82910be159882c8d265",24.1315796005982,120.667092735312,"2022-09-08T04:28:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T10:47:05.074Z","2022-09-08T10:47:05.074Z","黃守達","臺中市","民進黨","NA","縣市議員","左","固定式","NA","NA","是","NA","NA","NA",c(120.667092735312, 24.1315796005982)
"2185","66000040019","臺中市","西區","忠誠里","Zhongcheng Vil.","B","66000","B04","66000040",NA,"臺中市西區忠誠里",432074.039980716,"26","6319b66a10be15cc2fc8d262",24.1572359989415,120.660233985175,"2022-09-08T08:17:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T09:31:22.799Z","2022-09-08T09:31:22.799Z","盧秀燕","臺中市","國民黨","NA","縣市長","只有一個","固定式","NA","NA","NA","守護台中 我堅持","中港 忠明南路口","NA",c(120.660233985175, 24.1572359989415)
"2156.2","66000040003","臺中市","西區","三民里","Sanmin Vil.","B","66000","B04","66000040",NA,"臺中市西區三民里",195414.988160667,"27","6319b58b10be15bf9cc8d261",24.1358616403791,120.672624074957,"2022-09-08T08:33:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-08T09:27:39.419Z","2022-09-08T09:27:39.419Z","蔡其昌","臺中市","民進黨","NA","縣市長","只有一個","固定式","NA","NA","是","行動派","NA","NA",c(120.672624074957, 24.1358616403791)
"3570","10007100024","彰化縣","員林市","萬年里","Wannian Vil.","N","10007","N05","10007100",NA,"彰化縣員林市萬年里",2316145.02586648,"28","63188bb210be15a1cac8d260",23.9475523333333,120.582926722222,"2022-09-06T23:53:00.000Z","NA","631577bb10be153fcfc8d1c8","NA","2022-09-07T12:16:50.139Z","2022-09-07T12:16:50.139Z","游振雄","彰化縣","國民黨","員林市","縣市長","右","移動式","NA","NA","否","NA","NA","NA",c(120.582926722222, 23.9475523333333)
"3570.1","10007100024","彰化縣","員林市","萬年里","Wannian Vil.","N","10007","N05","10007100",NA,"彰化縣員林市萬年里",2316145.02586648,"29","63188b5710be15978cc8d25f",23.9475523333333,120.582926722222,"2022-09-06T23:53:00.000Z","NA","631577bb10be153fcfc8d1c8","NA","2022-09-07T12:15:19.107Z","2022-09-07T12:15:19.107Z","曹嘉豪","彰化縣","國民黨","員林、大村、永靖","縣市議員","左","移動式","NA","NA","是","NA","NA","NA",c(120.582926722222, 23.9475523333333)
"3570.2","10007100024","彰化縣","員林市","萬年里","Wannian Vil.","N","10007","N05","10007100",NA,"彰化縣員林市萬年里",2316145.02586648,"30","63188ac710be15f024c8d25e",23.9475077222222,120.582950055556,"2022-09-06T23:54:00.000Z","NA","631577bb10be153fcfc8d1c8","NA","2022-09-07T12:12:55.200Z","2022-09-07T12:12:55.200Z","林張阿賞","彰化縣","不知","員林市萬年里","其他（如鄉鎮市長、或村里長）","只有一個","不確定","NA","NA","否","NA","廟門口","NA",c(120.582950055556, 23.9475077222222)
"3570.3","10007100024","彰化縣","員林市","萬年里","Wannian Vil.","N","10007","N05","10007100",NA,"彰化縣員林市萬年里",2316145.02586648,"31","63188a5910be158749c8d25d",23.9472987777778,120.583080472222,"2022-09-06T23:54:00.000Z","NA","631577bb10be153fcfc8d1c8","NA","2022-09-07T12:11:05.433Z","2022-09-07T12:11:05.433Z","詹閔雄","彰化縣","其他","永靖、員林、大村","縣市議員","只有一個","移動式","NA","NA","是","NA","NA","NA",c(120.583080472222, 23.9472987777778)
"1908","66000060002","臺中市","西屯區","西墩里","Xidun Vil.","B","66000","B06","66000060",NA,"臺中市西屯區西墩里",1318772.13830352,"32","631820fd10be15def9c8d25b",24.1822023,120.6358918,"2022-09-07T04:39:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-07T04:41:33.993Z","2022-09-07T04:41:33.993Z","黃馨慧","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","否","NA","NA","NA",c(120.6358918, 24.1822023)
"5856","66000030014","臺中市","南區","西川里","Xichuan Vil.","B","66000","B03","66000030",NA,"臺中市南區西川里",292405.410381346,"33","631754a210be1521fcc8d25a",24.1338251533453,120.657182335854,"2022-09-06T14:08:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:09:38.384Z","2022-09-06T14:09:38.384Z","林俊凱","臺中市","民眾黨","東南區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.657182335854, 24.1338251533453)
"1908.1","66000060002","臺中市","西屯區","西墩里","Xidun Vil.","B","66000","B06","66000060",NA,"臺中市西屯區西墩里",1318772.13830352,"34","6317542710be155c9dc8d259",24.1760812781282,120.634657144547,"2022-09-06T14:07:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:07:35.164Z","2022-09-06T14:07:35.164Z","陳淑華","臺中市","民進黨","西屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.634657144547, 24.1760812781282)
"1911","66000060006","臺中市","西屯區","上石里","Shangshi Vil.","B","66000","B06","66000060",NA,"臺中市西屯區上石里",181876.124854719,"35","631753f810be155472c8d258",24.1710991793327,120.64425945282,"2022-09-06T14:05:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:06:48.769Z","2022-09-06T14:06:48.769Z","林祈烽","臺中市","民進黨","西屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.64425945282, 24.1710991793327)
"2169","66000060028","臺中市","西屯區","上德里","Shangde Vil.","B","66000","B06","66000060",NA,"臺中市西屯區上德里",188913.387198646,"35","631753f810be155472c8d258",24.1710991793327,120.64425945282,"2022-09-06T14:05:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:06:48.769Z","2022-09-06T14:06:48.769Z","林祈烽","臺中市","民進黨","西屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.64425945282, 24.1710991793327)
"1911.1","66000060006","臺中市","西屯區","上石里","Shangshi Vil.","B","66000","B06","66000060",NA,"臺中市西屯區上石里",181876.124854719,"36","631753aa10be15804ec8d257",24.1713194137409,120.644420385361,"2022-09-06T14:04:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:05:30.265Z","2022-09-06T14:05:30.265Z","楊大鋐","臺中市","國民黨","西屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.644420385361, 24.1713194137409)
"5876","66000060005","臺中市","西屯區","惠來里","Huilai Vil.","B","66000","B06","66000060",NA,"臺中市西屯區惠來里",1655477.75632805,"37","6317536210be156d7cc8d256",24.1682214148165,120.64790725708,"2022-09-06T14:03:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:04:18.725Z","2022-09-06T14:04:18.725Z","陳淑華","臺中市","民進黨","西屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.64790725708, 24.1682214148165)
"2248","66000080036","臺中市","北屯區","平福里","Pingfu Vil.","B","66000","B08","66000080",NA,"臺中市北屯區平福里",153524.028792758,"38","6317530c10be1577e4c8d255",24.175474431701,120.690366625786,"2022-09-06T14:02:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:02:52.633Z","2022-09-06T14:02:52.633Z","沈佑蓮","臺中市","國民黨","北屯區","縣市議員","只有一個","NA","NA","NA","NA","NA","NA","NA",c(120.690366625786, 24.175474431701)
"2248.1","66000080036","臺中市","北屯區","平福里","Pingfu Vil.","B","66000","B08","66000080",NA,"臺中市北屯區平福里",153524.028792758,"39","631752cc10be150a2ac8d254",24.1754157044743,120.690366625786,"2022-09-06T14:00:00.000Z","NA","61d666f510be153804c8d06c","NA","2022-09-06T14:01:48.235Z","2022-09-06T14:01:48.235Z","盧秀燕","臺中市","國民黨","","縣市長","只有一個","固定式","NA","NA","否","守護台中","NA","NA",c(120.690366625786, 24.1754157044743)
"2119","66000280010","臺中市","大里區","立仁里","Liren Vil.","B","66000","B28","66000280",NA,"臺中市大里區立仁里",456577.555917928,"40","63174bc710be1547a9c8d253",24.1103805555556,120.700461111111,"2022-09-06T09:00:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-06T13:31:51.453Z","2022-09-06T13:31:51.453Z","林德宇","臺中市","民進黨","NA","縣市議員","只有一個","固定式","NA","NA","是","NA","NA","NA",c(120.700461111111, 24.1103805555556)
"5952","66000230006","臺中市","烏日區","九德里","Jiude Vil.","B","66000","B23","66000230",NA,"臺中市烏日區九德里",1205175.87922059,"42","631743ea10be1581c8c8d251",24.1090357340988,120.641603064635,"2022-09-06T12:49:00.000Z","NA","61c6a09910be1550a1c8d064","NA","2022-09-06T12:58:18.192Z","2022-09-06T12:58:18.192Z","林昊佑","臺中市","國民黨","烏日","縣市議員","只有一個","固定式","NA","NA","是","NA","NA","NA",c(120.641603064635, 24.1090357340988)
"5280","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"44","6317333910be1593b0c8d24f",24.7848694444444,120.990622222222,"2022-09-06T09:33:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:47:05.285Z","2022-09-06T11:47:05.285Z","張水源","新竹市","無黨","NA","其他（如鄉鎮市長、或村里長）","左","固定式","NA","NA","否","我愛仙宮","NA","NA",c(120.990622222222, 24.7848694444444)
"5280.1","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"45","631732e410be153e6dc8d24e",24.7848694444444,120.990622222222,"2022-09-06T09:33:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:45:40.210Z","2022-09-06T11:45:40.210Z","黃文政","新竹市","國民黨","東區","縣市議員","右","固定式","NA","NA","是","超好用的","NA","NA",c(120.990622222222, 24.7848694444444)
"5280.2","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"46","631732a410be157ea9c8d24d",24.7849361111111,120.990227777778,"2022-09-06T09:32:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:44:36.579Z","2022-09-06T11:44:36.579Z","蔡惠婷","新竹市","無黨","東區","縣市議員","只有一個","固定式","NA","NA","否","守護兒少 爸媽安心","NA","NA",c(120.990227777778, 24.7849361111111)
"5280.3","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"47","6317325510be1533edc8d24c",24.7860555555556,120.988219444444,"2022-09-06T09:31:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:43:17.626Z","2022-09-06T11:43:17.626Z","何佳樺","新竹市","無黨","南區","縣市議員","下","固定式","NA","NA","否","服務不分區 建設不分藍綠 ","NA","NA",c(120.988219444444, 24.7860555555556)
"5280.4","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"48","6317322110be156d5cc8d24b",24.7860555555556,120.988219444444,"2022-09-06T09:31:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:42:25.537Z","2022-09-06T11:42:25.537Z","張祖琰","新竹市","國民黨","東區","縣市議員","上","固定式","NA","NA","是","有品質 會做事","NA","NA",c(120.988219444444, 24.7860555555556)
"5280.5","10018010032","新竹市","東區","仙宮里","Xiangong Vil.","O","10018","O01","10018010",NA,"新竹市東區仙宮里",809199.97072155,"49","6317319c10be1569d5c8d24a",24.7868361111111,120.986908333333,"2022-09-06T09:31:00.000Z","","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:40:12.701Z","2022-09-07T07:24:31.347Z","沈慧虹","新竹市","民進黨","NA","縣市長","只有一個","固定式","NA","NA","是","新竹光榮我帶頭","NA","NA",c(120.986908333333, 24.7868361111111)
"7897","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"53","631730d510be159bf6c8d246",24.7921333333333,120.973716666667,"2022-09-06T09:24:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:36:53.405Z","2022-09-06T11:36:53.405Z","許修睿","新竹市","國民黨","南區","縣市議員","只有一個","固定式","NA","NA","是","專注前行","NA","NA",c(120.973716666667, 24.7921333333333)
"7897.1","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"55","6317305810be150912c8d244",24.7858111111111,120.97725,"2022-09-06T09:22:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:34:48.379Z","2022-09-06T11:34:48.379Z","許修睿","新竹市","國民黨","南區","縣市議員","只有一個","固定式","NA","NA","是","專注前行","NA","NA",c(120.97725, 24.7858111111111)
"7897.2","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"56","6317302610be1576c4c8d243",24.780575,120.981422222222,"2022-09-06T09:20:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:33:58.424Z","2022-09-06T11:33:58.424Z","何佳樺","新竹市","無黨","南區","縣市議員","右","NA","NA","NA","否","共好 共享 友善 幸福","NA","NA",c(120.981422222222, 24.780575)
"7897.3","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"57","63172fd310be153198c8d242",24.780575,120.981422222222,"2022-09-06T09:20:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:32:35.843Z","2022-09-06T11:32:35.843Z","黃文政","新竹市","國民黨","東區","縣市議員","不容易描述","固定式","NA","NA","是","好用的 政是你要的","NA","NA",c(120.981422222222, 24.780575)
"7897.4","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"58","63172f8d10be1534fbc8d241",24.780575,120.981422222222,"2022-09-06T09:20:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:31:25.535Z","2022-09-06T11:31:25.535Z","林耕仁","新竹市","國民黨","NA","縣市長","左","固定式","NA","NA","是","感謝一路有你","NA","NA",c(120.981422222222, 24.780575)
"7897.5","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"59","63172f4410be15e70cc8d240",24.7797666666667,120.981383333333,"2022-09-06T09:19:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:30:12.872Z","2022-09-06T11:30:12.872Z","施乃如","新竹市","民進黨","南區","縣市議員","只有一個","固定式","NA","NA","是","美好新竹","NA","NA",c(120.981383333333, 24.7797666666667)
"7897.6","10018010031","新竹市","東區","高峰里","Gaofeng Vil.","O","10018","O01","10018010",NA,"新竹市東區高峰里",2742388.30499044,"60","63172f0d10be15caa9c8d23f",24.77715,120.983611111111,"2022-09-06T09:17:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:29:17.241Z","2022-09-06T11:29:17.241Z","林耕仁","新竹市","國民黨","NA","縣市長","只有一個","固定式","NA","NA","是","CAN DO 精神","NA","NA",c(120.983611111111, 24.77715)
"7898","10004100001","新竹縣","寶山鄉","雙溪村","Shuangxi Vil.","J","10004","J11","10004100",NA,"新竹縣寶山鄉雙溪村",3266200.96247352,"61","63172ece10be15cb41c8d23e",24.7682138888889,120.988441666667,"2022-09-06T09:13:00.000Z","NA","5e748a1d4894f400bb0cf7df","NA","2022-09-06T11:28:14.309Z","2022-09-06T11:28:14.309Z","邱振瑋","新竹縣","國民黨","寶山鄉","其他（如鄉鎮市長、或村里長）","只有一個","固定式","NA","NA","是","寶山起飛 幸福綻放","NA","NA",c(120.988441666667, 24.7682138888889)
